bytes,xx,sip24,btree,fnv,horner,sip13
1,64609,59522,100937,30737,50703,52525
2,115413,105845,178352,94819,108540,105644
4,119840,110270,179360,101103,104108,106691
8,115149,111102,174335,105809,107355,109470
16,114556,120843,180532,117156,107020,111496
32,133255,127543,199241,139621,115036,114162
64,136138,146500,199906,185298,116653,128024
128,143891,197869,197890,271728,126374,144584
256,163088,271101,195116,429510,149292,196765
512,191991,428855,198958,761696,167712,273877
1024,265592,738089,202312,1413003,244404,439616
2048,404055,1349119,215278,2725457,388790,796290
